artist,avg_popularity,unique_tracks,penalty,adjusted_popularity,normalized_popularity,lineup_tier
White Gold,0.154573219,2,0.090909091,0.014052111,0.092601983,Co-Headliner
Tyla,0.293823219,1,0.047619048,0.013991582,0.092202674,Co-Headliner
Marshmello,0.292688918,1,0.047619048,0.013937568,0.091846342,Co-Headliner
Dolly Parton,0.152707784,2,0.090909091,0.013882526,0.091483232,Co-Headliner
Dei V,0.291349604,1,0.047619048,0.013873791,0.091425607,Co-Headliner
Omar Courtz,0.291349604,1,0.047619048,0.013873791,0.091425607,Co-Headliner
Teezo Touchdown,0.29021405,1,0.047619048,0.013819717,0.091068881,Co-Headliner
Calle 24,0.288486619,1,0.047619048,0.013737458,0.090526221,Co-Headliner
Chino Pacas,0.288486619,1,0.047619048,0.013737458,0.090526221,Co-Headliner
Kenya Grace,0.287110026,1,0.047619048,0.013671906,0.090093775,Co-Headliner
Anitta,0.28643398,1,0.047619048,0.013639713,0.0898814,Co-Headliner
Sia,0.284554784,1,0.047619048,0.013550228,0.089291065,Co-Headliner
Donny Hathaway,0.148758575,2,0.090909091,0.013523507,0.089114787,Support
Richy Mitch & The Coal Miners,0.283405393,1,0.047619048,0.013495495,0.088929992,Support
Chuwi,0.282162066,1,0.047619048,0.013436289,0.08853941,Support
Sophie Ellis-Bextor,0.280186607,1,0.047619048,0.013342219,0.087918835,Support
leftovermax,0.27951715,1,0.047619048,0.01331034,0.08770853,Support
Rauw Alejandro,0.279514694,1,0.047619048,0.013310224,0.087707758,Support
Lay Bankz,0.278339239,1,0.047619048,0.013254249,0.087338498,Support
Harry Styles,0.27651715,1,0.047619048,0.013167483,0.086766102,Support
Addison Rae,0.27514057,1,0.047619048,0.013101932,0.08633366,Support
Childish Gambino,0.143887467,2,0.090909091,0.013080679,0.086193453,Support
RaiNao,0.274634753,1,0.047619048,0.013077845,0.086174761,Support
ILLIT,0.27321372,1,0.047619048,0.013010177,0.085728354,Support
John Scott Trotter & His Orchestra,0.272751146,1,0.047619048,0.01298815,0.08558304,Support
Ken Darby Singers,0.272751146,1,0.047619048,0.01298815,0.08558304,Support
John Williams,0.272555849,1,0.047619048,0.01297885,0.085521689,Support
Santigold,0.272244006,1,0.047619048,0.012964,0.085423726,Support
ScHoolboy Q,0.272244006,1,0.047619048,0.012964,0.085423726,Support
Hotel Ugly,0.270953201,1,0.047619048,0.012902533,0.085018229,Support
Lil Jon,0.270808047,1,0.047619048,0.012895621,0.08497263,Support
Ludacris,0.270808047,1,0.047619048,0.012895621,0.08497263,Support
Steve Lacy,0.270332454,1,0.047619048,0.012872974,0.084823226,Support
Miguel,0.270073879,1,0.047619048,0.012860661,0.084741997,Support
Chuck Berry,0.269973476,1,0.047619048,0.01285588,0.084710456,Support
千葉雄喜,0.269951048,1,0.047619048,0.012854812,0.08470341,Support
Florence + The Machine,0.268937005,1,0.047619048,0.012806524,0.084384856,Support
Paul McCartney,0.268859499,1,0.047619048,0.012802833,0.084360508,Support
Sly Pyper,0.140757586,2,0.090909091,0.012796144,0.08431638,Support
Luis R Conriquez,0.267036939,1,0.047619048,0.012716045,0.083787965,Support
John Lennon,0.266997361,1,0.047619048,0.01271416,0.083775532,Support
Yoko Ono,0.266997361,1,0.047619048,0.01271416,0.083775532,Support
*NSYNC,0.26527274,1,0.047619048,0.012632035,0.083233755,Support
Elvis Presley,0.26471504,1,0.047619048,0.012605478,0.083058557,Support
Jordan Adetunji,0.264698329,1,0.047619048,0.012604682,0.083053308,Support
Darlene Love,0.263086932,1,0.047619048,0.012527949,0.0825471,Support
Band Aid,0.260091029,1,0.047619048,0.012385287,0.081605959,Support
The Killers,0.259761873,1,0.047619048,0.012369613,0.081502557,Support
BigXthaPlug,0.25971836,1,0.047619048,0.012367541,0.081488888,Support
Paul Russell,0.25855409,1,0.047619048,0.0123121,0.081123141,Support
Lana Del Rey,0.25826536,1,0.047619048,0.01229835,0.081032439,Support
Quavo,0.25826536,1,0.047619048,0.01229835,0.081032439,Support
girl in red,0.258191858,1,0.047619048,0.01229485,0.081009349,Support
Bill Withers,0.258073879,1,0.047619048,0.012289232,0.080972286,Support
The Andrews Sisters,0.257873162,1,0.047619048,0.012279674,0.080909233,Support
Earth,0.257031662,1,0.047619048,0.012239603,0.080644882,Support
Wind & Fire,0.257031662,1,0.047619048,0.012239603,0.080644882,Support
Van Morrison,0.256810026,1,0.047619048,0.012229049,0.080575257,Support
Pitbull,0.255960422,1,0.047619048,0.012188592,0.08030836,Support
Creedence Clearwater Revival,0.255849604,1,0.047619048,0.012183314,0.080273547,Support
Eartha Kitt,0.25568677,1,0.047619048,0.01217556,0.080222394,Support
Henri René and His Orchestra,0.25568677,1,0.047619048,0.01217556,0.080222394,Support
Calvin Harris,0.255480211,1,0.047619048,0.012165724,0.080157505,Support
Dominic Fike,0.255443272,1,0.047619048,0.012163965,0.080145901,Support
LaToiya Williams,0.254581794,1,0.047619048,0.012122943,0.079875274,Support
The Beach Boys,0.254442282,1,0.047619048,0.012116299,0.079831448,Support
Kesha,0.25401715,1,0.047619048,0.012096055,0.079697896,Support
J. Fred Coots,0.253994723,1,0.047619048,0.012094987,0.07969085,Support
Gene Autry,0.253923483,1,0.047619048,0.012091594,0.079668471,Support
Gwen Stefani,0.253869393,1,0.047619048,0.012089019,0.079651479,Support
Loco,0.253688654,1,0.047619048,0.012080412,0.079594701,Support
Alicia Keys,0.252920844,1,0.047619048,0.01204385,0.079353499,Support
The Ronettes,0.252056464,1,0.047619048,0.012002689,0.079081961,Support
Daryl Hall & John Oates,0.250551451,1,0.047619048,0.011931021,0.078609172,Support
Arcane,0.249591029,1,0.047619048,0.011885287,0.078307463,Support
Pomme,0.249591029,1,0.047619048,0.011885287,0.078307463,Support
Stromae,0.249591029,1,0.047619048,0.011885287,0.078307463,Support
Surf Curse,0.248299208,1,0.047619048,0.011823772,0.077901647,Support
Los Pleneros de la Cresta,0.248005074,1,0.047619048,0.011809765,0.077809247,Support
Avery Anna,0.247680211,1,0.047619048,0.011794296,0.077707194,Support
Sam Barber,0.247680211,1,0.047619048,0.011794296,0.077707194,Support
Pentatonix,0.247647757,1,0.047619048,0.01179275,0.077696998,Support
Céline Dion,0.246775726,1,0.047619048,0.011751225,0.077423056,Support
B. Swanson Quartet,0.246391255,1,0.047619048,0.011732917,0.077302278,Support
benny blanco,0.246295515,1,0.047619048,0.011728358,0.077272202,Support
Ella Langley,0.244936675,1,0.047619048,0.011663651,0.076845332,Support
Riley Green,0.244936675,1,0.047619048,0.011663651,0.076845332,Support
Lynyrd Skynyrd,0.241795515,1,0.047619048,0.011514072,0.07585856,Support
Eslabon Armado,0.126277045,2,0.090909091,0.011479731,0.075632014,Support
Rema,0.240591029,1,0.047619048,0.011456716,0.07548018,Support
Selena Gomez,0.240591029,1,0.047619048,0.011456716,0.07548018,Support
