spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,primary_artist,normalized_rank,popularity_index,cluster,tsne1,tsne2,tsne_distance,is_outlier
4NVCbTM616gB2f1H8AJ8bZ,Mistletoe,Justin Bieber,20,30,30,US,2024-12-25,58,False,182946,Under The Mistletoe (Deluxe Edition),2011-01-01,0.658,0.56,6,-9.049,0,0.0467,0.498,0.0,0.0794,0.854,161.993,4,Justin Bieber,0.62,0.1707559366754617,1,-20.474113,-21.749092,29.387806,True
7xapw9Oy21WpfEcib2ErSA,Mistletoe,Justin Bieber,42,-7,-2,US,2024-12-22,87,False,182946,Under The Mistletoe (Deluxe Edition),2011-01-01,0.658,0.56,6,-9.049,0,0.0467,0.498,0.0,0.0794,0.854,161.993,4,Justin Bieber,0.18,0.2628301451187335,1,-20.474113,-21.749092,29.387806,True
4K1Pg0FLno1ltzX3jeqT83,"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)","Kendrick Lamar, Wallie the Sensei, Siete7x, Roddy Ricch",32,18,18,US,2024-12-06,86,True,131240,GNX,2024-11-22,0.796,0.536,6,-7.93,1,0.109,0.0552,0.0,0.112,0.662,83.492,4,Kendrick Lamar,0.38,0.2492539577836411,1,27.10426,-27.435366,30.002075,True
2Uts1QFB4u2YNIMiqcb4de,peekaboo (feat. azchike),"Kendrick Lamar, AzChike",46,4,4,US,2024-12-06,85,True,155917,GNX,2024-11-22,0.889,0.298,1,-9.086,1,0.182,0.00306,1.26e-05,0.173,0.314,100.042,4,Kendrick Lamar,0.1,0.2462282321899736,1,4.9524975,25.886374,33.015213,True
4kGlAkGC58crFvxfegBhNs,squabble up,Kendrick Lamar,1,49,49,US,2024-11-24,34,False,157992,GNX,2024-11-21,0.878,0.683,0,-5.562,1,0.192,0.0275,0.0,0.0793,0.721,103.951,4,Kendrick Lamar,1.0,0.1038469656992084,1,24.400839,-30.625538,30.459166,True
6CG7UePo6mydQbNr4tlkp8,hey now (feat. dody6),"Kendrick Lamar, Dody6",5,45,45,US,2024-11-24,30,False,217478,GNX,2024-11-21,0.813,0.348,10,-8.835,1,0.094,0.00319,0.0028,0.4,0.187,101.991,4,Kendrick Lamar,0.92,0.0916992084432717,1,7.1205235,29.185528,36.37507,True
442ifpYGFKfyz8PohOQEVd,"dodger blue (feat. wallie the sensei, roddy ricch, siete7x)","Kendrick Lamar, Wallie the Sensei, Roddy Ricch, Siete7x",10,40,40,US,2024-11-24,28,False,131240,GNX,2024-11-21,0.802,0.536,1,-8.015,1,0.123,0.0529,4.24e-06,0.13,0.677,83.504,4,Kendrick Lamar,0.82,0.0855145118733509,1,27.344105,-27.374914,30.138426,True
10tTkKxYPgeYkuMwGnqRND,peekaboo (feat. azchike),"Kendrick Lamar, AzChike",11,39,39,US,2024-11-24,27,False,155917,GNX,2024-11-21,0.896,0.29,1,-9.071,1,0.146,0.00345,1.64e-05,0.172,0.276,100.03,4,Kendrick Lamar,0.8,0.0824775725593667,1,4.8982105,25.727253,32.856247,True
35D1RA5uVFVhMc1qX80TaQ,Balloon (feat. Doechii),"Tyler, The Creator, Doechii",50,0,0,US,2024-11-21,82,True,154261,CHROMAKOPIA,2024-10-28,0.437,0.868,6,-3.03,1,0.112,0.731,0.0,0.234,0.475,111.774,4,Tyler,0.02,0.2504168865435356,1,-13.123585,18.640297,31.514944,True
6ie0uyyvOKTTuIFBMPiNIl,Judge Judy,"Tyler, The Creator",48,-7,-23,US,2024-11-10,83,True,269622,CHROMAKOPIA,2024-10-28,0.622,0.661,1,-5.906,1,0.0826,0.297,0.000135,0.165,0.362,76.331,4,Tyler,0.06,0.2552011873350923,1,-22.702868,15.365148,35.699696,True
4BSR9I4ExlCJdXJo2GpBD5,Take Your Mask Off (feat. Daniel Caesar & LaToiya Williams),"Tyler, The Creator, Daniel Caesar, LaToiya Williams",50,-8,-26,US,2024-11-10,83,True,253909,CHROMAKOPIA,2024-10-28,0.503,0.658,6,-5.823,0,0.154,0.46,0.0,0.382,0.515,121.784,5,Tyler,0.02,0.2545817941952507,0,-19.38832,-2.290819,49.78766,True
4QTlxavdQGUVitxAvQqqkU,Mmhmm,BigXthaPlug,50,0,0,US,2024-11-08,79,True,119015,THE BIGGEST,2023-12-01,0.93,0.682,9,-8.799,1,0.331,0.028,0.0,0.129,0.962,126.003,4,BigXthaPlug,0.02,0.2597183604767537,0,25.083424,-33.371193,56.56876,True
2dCmGcEOQrMQhMMS8Vj7Ca,Super Freak,Rick James,35,15,15,US,2024-11-02,76,False,205466,Street Songs (Deluxe Edition),1981-04-07,0.838,0.794,9,-8.245,0,0.0531,0.22,0.0,0.0575,0.962,132.446,4,Rick James,0.32,0.2285910290237466,1,13.998746,-35.642414,29.894262,True
5AH31dDNgxCMGDdxubNNn4,NEL,Fuerza Regida,43,-1,7,US,2024-10-26,88,True,149073,PERO NO TE ENAMORES,2024-07-25,0.69,0.482,7,-6.335,0,0.2,0.523,0.0004,0.0728,0.356,100.029,4,Fuerza Regida,0.16,0.2651137203166226,2,-14.285295,24.856464,34.11432,True
5iJKGpnFfvbjZJeAtwXfCj,28,Zach Bryan,49,1,1,US,2024-10-26,83,False,233333,The Great American Bar Scene,2024-07-04,0.492,0.519,7,-6.886,1,0.0288,0.227,8.47e-05,0.0693,0.435,80.868,3,Zach Bryan,0.04,0.3422349309629325,1,-23.989286,17.141878,37.822407,True
7Fzl7QaTu47WyP9R5S5mh5,Lies Lies Lies,Morgan Wallen,45,3,-3,US,2024-10-23,83,False,198068,Lies Lies Lies,2024-07-05,0.486,0.702,1,-5.758,0,0.0298,0.239,7.54e-05,0.0912,0.382,81.053,4,Morgan Wallen,0.12,0.3485507182644386,1,-21.913157,17.045637,36.190235,True
3kXoKlD84c6OmIcOLfrfEs,September,"Earth, Wind & Fire",21,5,29,US,2024-09-24,85,False,216022,September (sped up + slowed),1978-11-18,0.674,0.832,9,-7.892,1,0.0308,0.146,5.06e-06,0.138,0.981,125.996,4,Earth,0.6,0.2570316622691292,1,12.908157,-37.85044,31.71849,True
059qzhNaJb8tsqpdl2bHfF,Una Velita,Bad Bunny,20,30,30,US,2024-09-22,72,True,239986,Una Velita,2024-09-19,0.575,0.828,4,-6.599,0,0.154,0.724,0.00792,0.189,0.133,113.811,4,Bad Bunny,0.62,0.2171451187335092,2,-11.123361,19.706785,32.139008,True
5oIVNm56t6OIf9ZjdEG3ud,Coincidence,Sabrina Carpenter,50,-3,-18,US,2024-09-15,87,False,164202,Short n' Sweet,2024-08-23,0.418,0.815,9,-6.216,1,0.125,0.362,0.0,0.125,0.758,77.862,4,Sabrina Carpenter,0.02,0.2675621199954112,1,-18.738268,15.916133,33.097836,True
19RybK6XDbAVpcdxSbZL1o,Apple,Charli xcx,45,-2,-9,US,2024-09-09,90,False,151739,BRAT,2024-06-07,0.804,0.957,0,-5.452,1,0.034,0.125,0.0174,0.114,0.962,126.035,4,Charli xcx,0.12,0.2982714379947229,1,16.099304,-36.96944,31.831472,True
