spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,primary_artist,normalized_rank,popularity_index,cluster,tsne1,tsne2,tsne_distance,is_outlier
3sK8wGT43QFpWrvNQsrQya,DtMF,Bad Bunny,1,0,0,US,2025-01-31,98,True,237117,DeBÍ TiRAR MáS FOToS,2025-01-05,0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4,Bad Bunny,1.0,0.3192655408970976,3,-56.729538,-5.468124,5.849767,False
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",2,0,0,US,2025-01-31,100,False,251667,Die With A Smile,2024-08-16,0.521,0.592,6,-7.777,0,0.0304,0.308,0.0,0.122,0.535,157.969,3,Lady Gaga,0.98,0.5631220188952251,1,-18.394787,-13.167694,24.179853,False
6s8WSX1MxNThrot8ThI6fG,4X4,Travis Scott,3,1,47,US,2025-01-31,84,True,190581,4X4,2025-01-24,0.625,0.847,6,-2.95,0,0.0454,0.0392,0.000108,0.788,0.221,143.023,4,Travis Scott,0.96,0.2195077271013946,0,32.735733,8.242773,17.610703,False
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),"Kendrick Lamar, SZA",4,-1,-1,US,2025-01-31,88,False,177598,GNX,2024-11-21,0.707,0.575,2,-7.546,1,0.125,0.251,0.0,0.248,0.576,138.008,4,Kendrick Lamar,0.94,0.350117914657447,1,0.62181336,-5.8047953,4.5920095,False
0aB0v4027ukVziUGwVGYpG,tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",5,0,0,US,2025-01-31,91,True,220690,GNX,2024-11-22,0.855,0.529,6,-6.679,0,0.263,0.0837,0.0,0.423,0.548,100.036,4,Kendrick Lamar,0.92,0.3651249826412998,0,33.478844,15.791888,12.495987,False
2lTm559tuIvatlT1u0JYG2,BAILE INoLVIDABLE,Bad Bunny,6,0,-2,US,2025-01-31,95,True,367725,DeBÍ TiRAR MáS FOToS,2025-01-05,0.168,0.00332,10,-46.113,1,0.0615,0.192,0.79,0.112,0.219,119.387,3,Bad Bunny,0.9,0.3134132332047899,3,-60.27216,-6.926228,2.9087348,False
3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",7,1,-1,US,2025-01-31,89,True,255915,CHROMAKOPIA,2024-10-28,0.505,0.812,1,-3.986,1,0.461,0.285,0.0,0.444,0.664,80.09,4,Tyler,0.88,0.3919907981530343,0,31.988367,38.45566,17.533398,False
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,8,2,1,US,2025-01-31,90,False,170887,MUSE,2024-07-19,0.66,0.756,0,-3.743,0,0.032,0.00289,0.0,0.193,0.838,116.034,4,Jimin,0.86,0.5506430166139928,1,22.698004,-14.430113,19.127552,False
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSÉ, Bruno Mars",9,0,3,US,2025-01-31,91,False,169917,rosie,2024-12-06,0.777,0.783,0,-4.477,0,0.26,0.0283,0.0,0.355,0.939,149.027,4,ROSÉ,0.84,0.328796057737079,0,34.939667,21.509138,11.66358,False
2zOmS55knKWSgScYPTNmGQ,Sports car,Tate McRae,10,-3,40,US,2025-01-31,82,False,165045,Sports car,2025-01-24,0.863,0.804,11,-3.685,0,0.0346,0.0542,0.000685,0.0946,0.874,106.986,4,Tate McRae,0.82,0.2302593290614398,1,15.843193,-33.25461,28.279434,False
1Es7AUAhQvapIcoh3qMKDL,Timeless,The Weeknd,11,2,2,US,2025-01-31,93,True,256000,Timeless,2024-09-27,0.769,0.722,11,-5.485,0,0.0507,0.0584,2.56e-06,0.111,0.57,119.973,4,The Weeknd,0.8,0.4289036582756899,1,16.275215,-19.251434,16.542837,False
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,12,-1,-5,US,2025-01-31,96,True,166300,The Secret of Us (Deluxe),2024-10-18,0.554,0.808,1,-4.169,1,0.0368,0.214,0.0,0.159,0.372,108.548,4,Gracie Abrams,0.78,0.4207363236587511,1,11.550428,-9.044647,6.806801,False
